City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Kamaishi,JP,2022-07-22 09:09:48,39.2667,141.8833,72.41,99,100,7.94
97,Mabaruma,GY,2022-07-22 09:09:48,8.2,-59.7833,72.43,97,98,1.9
98,Turka,UA,2022-07-22 09:09:49,49.1541,23.0297,80.8,32,11,5.26
99,Tiksi,RU,2022-07-22 09:09:49,71.6872,128.8694,44.85,76,31,9.31
100,San Jose,US,2022-07-22 09:04:59,37.3394,-121.895,61.84,84,0,4.61
101,Airai,TL,2022-07-22 09:09:49,-8.9266,125.4092,62.08,64,46,2.71
102,Cockburn Town,TC,2022-07-22 09:09:50,21.4612,-71.1419,82.27,80,82,21.56
103,Berlevag,NO,2022-07-22 09:09:50,70.8578,29.0864,55.2,84,54,19.6
104,Mataura,NZ,2022-07-22 09:06:28,-46.1927,168.8643,39.47,96,68,2.8
105,Phuket,TH,2022-07-22 09:09:50,8.0,98.25,84.42,79,20,9.22
106,Jamestown,US,2022-07-22 09:09:51,42.097,-79.2353,69.51,88,75,9.22
107,Qasigiannguit,GL,2022-07-22 09:09:51,68.8193,-51.1922,48.45,88,100,5.88
108,Rodrigues Alves,BR,2022-07-22 09:09:51,-7.738,-72.6509,67.64,81,57,1.63
109,Yellowknife,CA,2022-07-22 09:09:51,62.456,-114.3525,55.56,71,100,2.26
110,Codrington,AU,2022-07-22 09:09:52,-38.2667,141.9667,54.19,71,100,10.63
111,Dingle,PH,2022-07-22 09:09:52,10.9995,122.6711,83.44,82,100,4.38
112,Faanui,PF,2022-07-22 09:09:52,-16.4833,-151.75,77.22,75,19,12.53
113,Hambantota,LK,2022-07-22 09:09:53,6.1241,81.1185,91.74,62,20,14.97
114,Sayansk,RU,2022-07-22 09:09:53,54.1088,102.1648,69.19,54,100,8.39
115,Kapaa,US,2022-07-22 09:09:53,22.0752,-159.319,77.32,82,40,13.8
116,Elat,IL,2022-07-22 09:09:54,29.5581,34.9482,94.84,41,0,18.41
117,Silopi,TR,2022-07-22 09:09:54,37.2497,42.4694,99.77,18,0,8.46
118,Mount Isa,AU,2022-07-22 09:09:54,-20.7333,139.5,64.17,20,0,5.75
119,Leeton,AU,2022-07-22 09:09:54,-34.5667,146.4,54.9,73,82,8.59
120,Khasan,RU,2022-07-22 09:09:55,42.4308,130.6434,68.77,91,56,6.2
121,Egvekinot,RU,2022-07-22 09:09:55,66.3167,-179.1667,42.91,65,82,6.71
122,Adre,TD,2022-07-22 09:09:55,13.4667,22.2,84.79,48,55,3.18
123,Khani,GE,2022-07-22 09:09:56,41.9563,42.9566,60.37,70,88,5.3
124,Coquimbo,CL,2022-07-22 09:09:56,-29.9533,-71.3436,53.33,87,100,1.14
125,Abu Dhabi,AE,2022-07-22 09:05:37,24.4667,54.3667,111.31,25,0,6.91
126,Portland,US,2022-07-22 09:09:00,45.5234,-122.6762,64.42,78,100,4.61
127,Sao Domingos Do Prata,BR,2022-07-22 09:09:57,-19.865,-42.9683,55.67,94,0,1.86
128,Thompson,CA,2022-07-22 09:09:57,55.7435,-97.8558,51.96,93,100,9.22
129,Ust-Koksa,RU,2022-07-22 09:09:57,50.2696,85.6108,74.82,46,9,8.68
130,Maragogi,BR,2022-07-22 09:09:57,-9.0122,-35.2225,72.72,89,97,4.79
131,Ulaangom,MN,2022-07-22 09:09:58,49.9811,92.0667,69.96,48,94,12.12
132,Leningradskiy,RU,2022-07-22 09:09:58,69.3833,178.4167,33.22,97,100,4.45
133,Barpali,IN,2022-07-22 09:09:58,21.2,83.5833,90.86,60,99,2.59
134,Kaitangata,NZ,2022-07-22 09:09:59,-46.2817,169.8464,41.94,87,82,5.37
135,Puerto Lopez,CO,2022-07-22 09:09:59,4.0845,-72.956,69.85,95,93,1.88
136,Nikolskoye,RU,2022-07-22 09:09:59,59.7035,30.7861,82.87,41,72,4.12
137,Srednekolymsk,RU,2022-07-22 09:10:00,67.45,153.6833,60.37,39,0,9.57
138,Sur,OM,2022-07-22 09:10:00,22.5667,59.5289,95.31,52,7,1.16
139,Pinotepa Nacional,MX,2022-07-22 09:11:00,16.3167,-98.0167,73.47,95,99,2.33
140,Amparafaravola,MG,2022-07-22 09:11:01,-17.5833,48.2167,68.86,55,57,11.45
141,Lebu,CL,2022-07-22 09:08:59,-37.6167,-73.65,52.88,97,100,10.31
142,Natal,BR,2022-07-22 09:11:01,-5.795,-35.2094,72.25,100,75,5.75
143,Vahan,AM,2022-07-22 09:11:02,40.5755,45.3977,64.13,67,73,8.46
144,Brigantine,US,2022-07-22 09:07:53,39.4101,-74.3646,78.04,93,0,4.61
145,Jalu,LY,2022-07-22 09:06:15,29.0331,21.5482,86.47,29,0,10.25
146,Cape Town,ZA,2022-07-22 09:07:32,-33.9258,18.4232,59.88,74,100,7.0
147,Marabba,SD,2022-07-22 09:11:03,12.35,32.1833,87.06,48,33,11.65
148,Victoria,HK,2022-07-22 09:10:44,22.2855,114.1577,95.05,80,1,3.0
149,Concepcion,CL,2022-07-22 09:08:15,-36.827,-73.0498,51.6,100,100,2.3
